,"Short group name. 
12 char max.","Tags (comma separated, for search)","Case (singular, brief & generic)",,Quality of evidence,Cases (plural & specific),icon* (see icons sheet),Exposure,Brief exposure label,Non-exposure label,Event (verb infinitive),Event (NP or AP for intransitive verb),outcome-type,Relative risk,Baseline risk,Causative?,Exposed risk,Number needed to be exposed,"List source links in markdown [linking text](url) format. 
i.e. Linking text inside brackets, followed by the URL inside parentheses.
Source of relative risk ","List source links in markdown [linking text](url) format. 
i.e. Linking text inside brackets, followed by the URL inside parentheses.
Source of relative risk ",Comments
,Groupings,"Tags (comma separated, for search)","Case (singular, brief & generic)",Short scenario title (64 char),Quality of evidence,Cases (plural & specific),icon* (see icons sheet),Exposure,Brief exposure label,Non-exposure label,Event (verb infinitive),Event (NP or AP for intransitive verb),outcome-type,Relative risk,Baseline risk,Causative?,Exposed risk,Number needed to be exposed,Source of relative risk ,List sources using a list of links written in markdown (see quick reference here).,
:scenario,:groups,:tags,:subject,:title,:qoe,:subjects,:icon,:exposure,:with-label,:without-label,:outcome-verb,:outcome,:outcome-type,:relative-risk,:baseline-risk,:causative,:exposed-risk,:nne,:sources-relative-risk,:sources-baseline-risk,:comments
:bacon,"Lifestyle, Cancer","food, bowel, cancer",person,Bacon and bowel cancer,NOT GIVEN,people,ios-person,eating a bacon sandwich every day,bacon every day,normal,develop,bowel cancer,risk,1.18,6.00%,FALSE,7.10%,93,[Risk per 50g of daily processed meat. IARC Monograph](http://www.thelancet.com/journals/lanonc/article/PIIS1470-2045%2815%2900444-1/abstract),"[Lifetime risk 7.3% for men, 5.5% for women](http://www.cancerresearchuk.org/health-professional/cancer-statistics/risk/lifetime-risk#heading-One)",
:hrt,"Prevent, Cancer, Fractures, Hormone","preventative, breast, cancer, osteoporosis",woman,HRT and breast cancer,NOT GIVEN,women in their 50s,ios-woman,taking HRT for 5 years,taking HRT,No HRT,develop,breast cancer,risk,1.05,10.00%,FALSE,10.50%,200,,,
:wine,"Lifestyle, Cancer","alcohol, breast, cancer",woman,Alcohol and breast cancer,NOT GIVEN,women,ios-wine,drinking half a bottle of wine a day,half a bottle a day,not drinking,develop,breast cancer,risk,1.3,12.00%,FALSE,15.60%,28,,,
:wdoc,"Gender, Care","gender, care",person,Gender of doctor,NOT GIVEN,US people over 65 admitted to hospital under Medicare,ios-person,being seen by a female doctor,female doctor,male doctor,die,within 30 days of admission,risk,0.96,11.50%,FALSE,11.00%,217,,,
:statins,"Prevent, Cardiovascular","preventative, medication, heart, cardiac",person,Statins and heart attack,NOT GIVEN,people just within NICE guidelines for prescribing statins,ios-person,taking statins each day,taking statins,no statins,have,a heart attack or stroke within 10 years,risk,0.7,10.00%,TRUE,7.00%,33,,,
:tv,"Lifestyle, Cardiovascular",leisure,person,TV and pulmonary embolism,NOT GIVEN,people,ios-person,watching more than 5hrs TV per night,watching 5hrs/night TV,watching less than 2.5hrs TV per night,die from,a pulmonary embolism in the next year,risk,1.4,0.00%,FALSE,0.00%,18518.52,Shirakawa et al,Shirakawa et al,
:ibuprofen,Cardiovascular,"cardiac, heart, non-steroidal, pain",person,Ibuprofen and cardiac arrest,NOT GIVEN,people,ios-person,taking ibuprofen,taking ibuprofen,not taking ibuprofen,suffer,a cardiac arrest,risk,1.31,0.01%,FALSE,0.02%,5385.029475,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
